Time,Log comp,Log subtype,Username,Firewall rule,Firewall rule name,NAT rule,NAT rule name,In interface ,Out interface ,Src IP,Dst IP,Src port,Dst port,protocol,Rule type,Live PCAP,Message,Log occurrence,Unnamed: 19
2024-07-06 12:29:34,Firewall Rule,Allowed,,5.0,WebNat,10,iqrad webserver - DNAT,Port2,Port3,45.147.66.142,82.213.48.193,4036,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:30,Firewall Rule,Allowed,,48.0,DMZ-to-WAN,15,Default SNAT IPv4,Port3,Port2,172.17.17.8,10.101.6.4,52907,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:29,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.137,3.72.193.109,53382,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:29,Firewall Rule,Allowed,,5.0,WebNat,10,iqrad webserver - DNAT,Port2,Port3,45.147.66.142,82.213.48.193,32034,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:29,Firewall Rule,Allowed,,48.0,DMZ-to-WAN,14,PublicDNS - SNAT,Port3,Port2,172.17.17.223,23.196.143.19,49302,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:29,Firewall Rule,Allowed,,33.0,IT-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.233,104.46.162.226,54631,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:29,Firewall Rule,Allowed,,5.0,WebNat,10,iqrad webserver - DNAT,Port2,Port3,91.218.152.161,82.213.48.193,59140,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:28,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.44,147.182.140.228,64950,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:27,Firewall Rule,Allowed,,48.0,DMZ-to-WAN,14,PublicDNS - SNAT,Port3,Port2,172.17.17.223,44.237.175.54,49301,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:26,Firewall Rule,Allowed,,5.0,WebNat,10,iqrad webserver - DNAT,Port2,Port3,91.218.152.161,82.213.48.193,59141,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:25,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.111,8.8.8.8,53688,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:25,Firewall Rule,Allowed,,33.0,IT-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.233,104.46.162.226,54632,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:25,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.44,147.182.140.228,64951,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:24,Firewall Rule,Allowed,,48.0,DMZ-to-WAN,15,Default SNAT IPv4,Port3,Port2,172.17.17.90,10.101.6.4,54657,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:20,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.111,8.8.8.8,52703,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:19,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.111,8.8.8.8,54213,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:19,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.233,8.8.8.8,65377,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:19,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.137,8.8.8.8,61088,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:18,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.111,8.8.8.8,53054,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:16,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.233,8.8.8.8,52392,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:16,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.111,8.8.8.8,52859,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:16,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.233,8.8.8.8,50885,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:16,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.233,8.8.8.8,64180,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:16,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.233,8.8.8.8,50886,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:15,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.138,185.153.163.3,52872,53,UDP,1,Open PCAP,,1,
2024-07-06 12:29:14,Firewall Rule,Allowed,,43.0,PALCERT_Outbound,0,,Port3,Port2,172.17.17.8,10.103.70.200,52910,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:09,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.137,65.49.2.57,53369,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:08,Firewall Rule,Allowed,,48.0,DMZ-to-WAN,15,Default SNAT IPv4,Port3,Port2,172.17.17.8,10.101.6.4,52905,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:08,Firewall Rule,Allowed,,2.0,LAN-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.137,74.82.60.34,53375,443,TCP,1,Open PCAP,,1,
2024-07-06 12:29:08,Firewall Rule,Allowed,,33.0,IT-2-WAN,15,Default SNAT IPv4,Port1,Port2,192.168.61.233,52.123.159.136,54625,443,TCP,1,Open PCAP,,1,
